Sample Number,Weight of dough ,After rolling out ,Units,Height ,Final mass,Max height ,D1,Units,Temp 1,Temp 2,Temp 3,Max heat,Description 
1,25,20,g,0.75,19,20,115,mm,405,100,930,240,
2,25,23,g,1,23,42,115,mm,369,101,884,256,
3,25,23,g,1,18,21,115,mm,355,94,951,240,
4,25,21,g,1,18,42,115,mm,324,92,958,214,
5,25,19,g,1,16,15,115,mm,331,110,938,229,
6,25,18,g,1,23,27,115,mm,346,91,847,252,
7,25,17,g,2.5,12,32,115,mm,370,106,938,238,
8,25,20,g,1,18,41,115,mm,353,104,879,229,
9,25,19,g,1,10,15,115,mm,335,95,950,257,
10,25,23,g,2.5,14,13,115,mm,366,97,874,220,
11,25,19,g,1,15,34,115,mm,408,108,883,225,
12,25,20,g,0.5,11,26,115,mm,322,101,924,227,
13,25,23,g,1,11,30,115,mm,373,104,867,227,
14,25,22,g,0.5,18,40,115,mm,391,102,911,240,
15,25,21,g,1,10,20,115,mm,393,102,959,257,
16,25,19,g,1,21,44,115,mm,356,93,866,235,
17,25,21,g,1,18,14,115,mm,402,109,925,237,
18,25,22,g,1,20,21,115,mm,323,92,960,238,
19,25,23,g,1,18,34,115,mm,384,91,922,236,
20,25,21,g,1,14,41,115,mm,326,103,959,233,
21,25,19,g,1,15,39,115,mm,323,108,902,252,
22,25,19,g,1,20,30,115,mm,352,101,872,255,
23,25,17,g,1,22,26,115,mm,369,95,850,245,
24,25,19,g,1.5,23,23,115,mm,341,93,882,252,
25,25,21,g,1,15,23,115,mm,410,91,892,232,
