Sample Number,Weight of dough ,After rolling out ,Units,Height ,Final mass,Max height ,D1,Units,Temp 1,Temp 2,Temp 3,Max heat,Description 
1,25,20,g,2.5,16,15,115,mm,393,93,916,269,
2,25,21,g,1,15,20,115,mm,412,91,826,256,
3,25,21,g,1,16,15,115,mm,413,95,840,236,
4,25,20,g,2.5,16,25,115,mm,422,95,973,234,
5,25,20,g,1,16,45,115,mm,170,82,850,245,4 cracks on side
6,25,19,g,2.5,14,15,115,mm,350,97,952,215,hole due to burning
7,25,22,g,1,17,20,115,mm,344,93,870,246,
8,25,20,g,1,16,20,115,mm,341,95,934,253,
9,25,20,g,1,15,7,115,mm,334,114,915,240,
10,25,23,g,1,18,34,115,mm,340,129,925,226,
11,25,19,g,0.75,15,25,115,mm,343,110,913,233,
12,25,21,g,0.5,16,15,115,mm,354,98,925,242,Hole
13,25,24,g,1,20,35,115,mm,330,92,914,213,
14,25,16,g,1,12,45,115,mm,351,107,910,260,Crack in middle
15,25,17,g,1,12,15,115,mm,344,110,876,216,"Fingernail hole, burned"
16,25,23,g,1,18,30,115,mm,340,96,884,240,
17,25,20,g,1,16,30,115,mm,330,116,904,240,
18,25,23,g,1,18,45,115,mm,353,91,926,270,
19,25,20,g,1,16,50,115,mm,386,116,819,240,
20,25,22,g,1,18,10,115,mm,358,93,850,255,Small indentation on circumference
21,25,20,g,1,15,15,115,mm,379,93,920,213,
22,25,22,g,1,17,25,115,mm,353,100,825,212,
23,25,19,g,1,16,30,115,mm,325,107,916,217,
24,25,19,g,1.5,17,15,115,mm,396,90,917,243,
25,25,17,g,1,15,20,115,mm,399,92,965,234,
